2016-03-07 00:24:17.504 25251 LOG File descriptor limit: 65536 (H:65536), max_client_conn: 300, max fds possible: 510
2016-03-07 00:24:17.504 25251 LOG listening on 127.0.0.1:6543
2016-03-07 00:24:17.504 25251 LOG listening on unix:/tmp/.s.PGSQL.6543
2016-03-07 00:24:17.504 25251 LOG process up: pgbouncer 1.6.1, libevent 2.0.16-stable (epoll), adns: evdns2
2016-03-07 00:24:19.122 25251 LOG Got SIGHUP re-reading config
2016-03-07 01:17:17.546 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:18:17.547 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:19:17.547 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:20:17.548 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:21:17.549 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:22:17.550 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:23:17.550 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:24:17.551 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:25:17.551 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:26:17.552 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:27:17.552 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:28:17.554 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:29:17.554 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:30:17.555 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:31:17.555 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:32:17.556 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:33:17.556 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:34:17.557 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:35:17.557 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:36:17.559 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:37:17.559 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
2016-03-07 01:38:17.560 25251 LOG Stats: 0 req/s, in 0 b/s, out 0 b/s,query 0 us
